	rplB_9	rplB_94
SRR2034335.379805-1/2	1.0	0.0
SRR2034335.379805-2/2	0.0	0.0
SRR2034335.380960-1/2	0.0	0.0
SRR2034335.380960-2/2	0.0	0.0
SRR2034335.390307-1/2	0.0	0.0
SRR2034335.390307-2/2	0.0	0.0
SRR2034335.392766-1/2	-1.0	0.0
SRR2034335.392766-2/2	-1.0	0.0
SRR2034335.396800-1/2	1.0	0.0
SRR2034335.396800-2/2	1.0	0.0
SRR2034335.396890-1/2	0.0	0.0
SRR2034335.396890-2/2	0.0	0.0
SRR2034335.398571-1/2	1.0	0.0
SRR2034335.398571-2/2	1.0	0.0
SRR2034335.400450-1/2	0.0	0.0
SRR2034335.400450-2/2	1.0	0.0
SRR2034335.400835-1/2	1.0	0.0
SRR2034335.400835-2/2	1.0	0.0
SRR2034335.401302-1/2	1.0	0.0
SRR2034335.401302-2/2	0.0	0.0
SRR2034335.407951-1/2	1.0	0.0
SRR2034335.407951-2/2	2.0	0.0
SRR2034335.408171-1/2	1.0	0.0
SRR2034335.408171-2/2	1.0	0.0
SRR2034335.409949-1/2	1.0	0.0
SRR2034335.409949-2/2	1.0	0.0
SRR2034335.413371-1/2	1.0	0.0
SRR2034335.413371-2/2	1.0	0.0
SRR2034335.413473-1/2	1.0	0.0
SRR2034335.413473-2/2	0.0	1.0
SRR2034335.418149-1/2	0.0	0.0
SRR2034335.418149-2/2	0.0	0.0
SRR2034335.418488-1/2	1.0	0.0
SRR2034335.418488-2/2	0.0	0.0
SRR2034335.42251-1/2	1.0	0.0
SRR2034335.42251-2/2	0.0	0.0
SRR2034335.433068-1/2	0.0	0.0
SRR2034335.433068-2/2	1.0	0.0
SRR2034335.434204-1/2	1.0	0.0
SRR2034335.434204-2/2	1.0	0.0
SRR2034335.435008-1/2	1.0	0.0
SRR2034335.435008-2/2	1.0	0.0
SRR2034335.437351-1/2	0.0	0.0
SRR2034335.437351-2/2	1.0	0.0
SRR2034335.437505-1/2	1.0	0.0
SRR2034335.437505-2/2	1.0	0.0
SRR2034335.43890-1/2	1.0	0.0
SRR2034335.43890-2/2	2.0	0.0
SRR2034335.443960-1/2	1.0	0.0
SRR2034335.443960-2/2	2.0	0.0
SRR2034335.444307-1/2	0.0	0.0
SRR2034335.444307-2/2	1.0	0.0
SRR2034335.445850-1/2	1.0	0.0
SRR2034335.445850-2/2	1.0	0.0
SRR2034335.452090-1/2	0.0	0.0
SRR2034335.452090-2/2	1.0	0.0
SRR2034335.452397-1/2	1.0	0.0
SRR2034335.452397-2/2	0.0	0.0
SRR2034335.457943-1/2	1.0	0.0
SRR2034335.457943-2/2	1.0	0.0
SRR2034335.458178-1/2	1.0	0.0
SRR2034335.458178-2/2	1.0	0.0
SRR2034335.460631-1/2	1.0	0.0
SRR2034335.460631-2/2	0.0	0.0
SRR2034335.461936-1/2	1.0	0.0
SRR2034335.461936-2/2	0.0	0.0
SRR2034335.467139-1/2	0.0	0.0
SRR2034335.467139-2/2	0.0	0.0
SRR2034335.467699-1/2	1.0	0.0
SRR2034335.467699-2/2	0.0	0.0
SRR2034335.472411-1/2	1.0	0.0
SRR2034335.472411-2/2	1.0	0.0
SRR2034335.478270-1/2	2.0	0.0
SRR2034335.478270-2/2	1.0	0.0
SRR2034335.478806-1/2	0.0	0.0
SRR2034335.478806-2/2	0.0	0.0
SRR2034335.480624-1/2	1.0	0.0
SRR2034335.480624-2/2	1.0	0.0
SRR2034335.481077-1/2	1.0	0.0
SRR2034335.481077-2/2	0.0	0.0
SRR2034335.481188-1/2	-1.0	0.0
SRR2034335.481188-2/2	-1.0	0.0
SRR2034335.481998-1/2	0.0	0.0
SRR2034335.481998-2/2	1.0	0.0
SRR2034335.484661-1/2	1.0	0.0
SRR2034335.484661-2/2	1.0	0.0
SRR2034335.488641-1/2	0.0	0.0
SRR2034335.488641-2/2	1.0	0.0
SRR2034335.492216-1/2	0.0	0.0
SRR2034335.492216-2/2	0.0	0.0
SRR2034335.498716-1/2	1.0	0.0
SRR2034335.498716-2/2	0.0	0.0
SRR2034335.501928-1/2	1.0	0.0
SRR2034335.501928-2/2	2.0	0.0
SRR2034335.504205-1/2	1.0	0.0
SRR2034335.504205-2/2	1.0	0.0
SRR2034335.505675-1/2	1.0	0.0
SRR2034335.505675-2/2	1.0	0.0
SRR2034335.508869-1/2	1.0	0.0
SRR2034335.508869-2/2	0.0	0.0
SRR2034335.511362-1/2	1.0	0.0
SRR2034335.511362-2/2	0.0	0.0
SRR2034335.514897-1/2	1.0	0.0
SRR2034335.514897-2/2	1.0	0.0
SRR2034335.51800-1/2	1.0	0.0
SRR2034335.51800-2/2	0.0	0.0
SRR2034335.521589-1/2	1.0	0.0
SRR2034335.521589-2/2	0.0	0.0
SRR2034335.522439-1/2	1.0	0.0
SRR2034335.522439-2/2	0.0	0.0
SRR2034335.525066-1/2	0.0	0.0
SRR2034335.525066-2/2	0.0	0.0
SRR2034335.528050-1/2	0.0	0.0
SRR2034335.528050-2/2	1.0	0.0
SRR2034335.528240-1/2	1.0	0.0
SRR2034335.528240-2/2	0.0	0.0
SRR2034335.528761-1/2	1.0	0.0
SRR2034335.528761-2/2	0.0	0.0
SRR2034335.529171-1/2	1.0	0.0
SRR2034335.529171-2/2	0.0	0.0
SRR2034335.529716-1/2	0.0	1.0
SRR2034335.529716-2/2	1.0	0.0
SRR2034335.533759-1/2	-1.0	2.0
SRR2034335.533759-2/2	-1.0	1.0
SRR2034335.535133-1/2	1.0	0.0
SRR2034335.535133-2/2	0.0	0.0
SRR2034335.536120-1/2	2.0	0.0
SRR2034335.536120-2/2	0.0	1.0
SRR2034335.541025-1/2	1.0	0.0
SRR2034335.541025-2/2	1.0	0.0
SRR2034335.542746-1/2	1.0	1.0
SRR2034335.542746-2/2	1.0	0.0
SRR2034335.544338-1/2	0.0	0.0
SRR2034335.544338-2/2	2.0	0.0
SRR2034335.546211-1/2	0.0	0.0
SRR2034335.546211-2/2	1.0	0.0
SRR2034335.548427-1/2	0.0	0.0
SRR2034335.548427-2/2	0.0	0.0
SRR2034335.55243-1/2	1.0	0.0
SRR2034335.55243-2/2	0.0	0.0
