	pepX_115	pepX_4
SRR2034335.654938-2/2	0.0	1.0
SRR2034335.658987-1/2	1.0	0.0
SRR2034335.658987-2/2	0.0	1.0
SRR2034335.659018-1/2	0.0	0.0
SRR2034335.659018-2/2	0.0	1.0
SRR2034335.668761-1/2	1.0	0.0
SRR2034335.668761-2/2	0.0	1.0
SRR2034335.669201-1/2	0.0	0.0
SRR2034335.669201-2/2	0.0	0.0
SRR2034335.671270-1/2	1.0	0.0
SRR2034335.671270-2/2	0.0	1.0
SRR2034335.671313-1/2	1.0	0.0
SRR2034335.671313-2/2	0.0	1.0
SRR2034335.673191-1/2	0.0	1.0
SRR2034335.673191-2/2	0.0	1.0
SRR2034335.675506-1/2	0.0	0.0
SRR2034335.675506-2/2	0.0	1.0
SRR2034335.675948-1/2	0.0	1.0
SRR2034335.675948-2/2	0.0	1.0
SRR2034335.685436-1/2	0.0	1.0
SRR2034335.685436-2/2	0.0	1.0
SRR2034335.6872-1/2	0.0	0.0
SRR2034335.6872-2/2	0.0	1.0
SRR2034335.687293-1/2	0.0	0.0
SRR2034335.687293-2/2	0.0	1.0
SRR2034335.68733-1/2	0.0	0.0
SRR2034335.68733-2/2	0.0	1.0
SRR2034335.691283-1/2	1.0	0.0
SRR2034335.691283-2/2	0.0	1.0
SRR2034335.69231-1/2	0.0	1.0
SRR2034335.69231-2/2	0.0	0.0
SRR2034335.694347-1/2	0.0	0.0
SRR2034335.694347-2/2	1.0	0.0
SRR2034335.694351-1/2	0.0	0.0
SRR2034335.694351-2/2	0.0	1.0
SRR2034335.69973-1/2	0.0	1.0
SRR2034335.69973-2/2	0.0	0.0
SRR2034335.705939-1/2	0.0	0.0
SRR2034335.705939-2/2	0.0	1.0
SRR2034335.719855-1/2	0.0	0.0
SRR2034335.719855-2/2	0.0	1.0
SRR2034335.724424-1/2	2.0	1.0
SRR2034335.724424-2/2	0.0	1.0
SRR2034335.736846-1/2	0.0	0.0
SRR2034335.736846-2/2	0.0	0.0
SRR2034335.738692-1/2	0.0	1.0
SRR2034335.738692-2/2	1.0	0.0
SRR2034335.743590-1/2	0.0	0.0
SRR2034335.743590-2/2	0.0	1.0
SRR2034335.745917-1/2	0.0	0.0
SRR2034335.745917-2/2	0.0	1.0
SRR2034335.746011-1/2	0.0	0.0
SRR2034335.746011-2/2	0.0	1.0
SRR2034335.746435-1/2	1.0	1.0
SRR2034335.746435-2/2	0.0	1.0
SRR2034335.75526-1/2	0.0	0.0
SRR2034335.75526-2/2	0.0	1.0
SRR2034335.759678-1/2	1.0	2.0
SRR2034335.759678-2/2	0.0	1.0
SRR2034335.760154-1/2	1.0	0.0
SRR2034335.760154-2/2	1.0	2.0
SRR2034335.762459-1/2	1.0	0.0
SRR2034335.762459-2/2	1.0	0.0
SRR2034335.779119-1/2	0.0	0.0
SRR2034335.779119-2/2	0.0	1.0
SRR2034335.786203-1/2	0.0	1.0
SRR2034335.786203-2/2	0.0	0.0
SRR2034335.788310-1/2	1.0	0.0
SRR2034335.788310-2/2	0.0	1.0
SRR2034335.800865-1/2	0.0	0.0
SRR2034335.800865-2/2	0.0	0.0
SRR2034335.809132-1/2	0.0	0.0
SRR2034335.809132-2/2	0.0	1.0
SRR2034335.810852-1/2	0.0	0.0
SRR2034335.810852-2/2	0.0	0.0
SRR2034335.818223-1/2	1.0	0.0
SRR2034335.818223-2/2	0.0	1.0
SRR2034335.823786-1/2	0.0	0.0
SRR2034335.823786-2/2	0.0	1.0
SRR2034335.823958-1/2	1.0	0.0
SRR2034335.823958-2/2	0.0	1.0
SRR2034335.831259-1/2	0.0	1.0
SRR2034335.831259-2/2	0.0	1.0
SRR2034335.834378-1/2	0.0	0.0
SRR2034335.834378-2/2	0.0	0.0
SRR2034335.836992-1/2	0.0	0.0
SRR2034335.836992-2/2	0.0	0.0
SRR2034335.838463-1/2	0.0	0.0
SRR2034335.838463-2/2	0.0	1.0
SRR2034335.83853-1/2	1.0	0.0
SRR2034335.83853-2/2	0.0	1.0
SRR2034335.840760-1/2	0.0	1.0
SRR2034335.840760-2/2	0.0	0.0
SRR2034335.844242-1/2	0.0	0.0
SRR2034335.844242-2/2	1.0	2.0
SRR2034335.845306-1/2	0.0	1.0
SRR2034335.845306-2/2	0.0	0.0
SRR2034335.845548-1/2	0.0	0.0
SRR2034335.845548-2/2	0.0	1.0
SRR2034335.846541-1/2	0.0	0.0
SRR2034335.846541-2/2	0.0	1.0
SRR2034335.846684-1/2	0.0	0.0
SRR2034335.846684-2/2	0.0	1.0
SRR2034335.848348-1/2	0.0	0.0
SRR2034335.848348-2/2	0.0	0.0
SRR2034335.855603-1/2	0.0	1.0
SRR2034335.855603-2/2	1.0	0.0
SRR2034335.858484-1/2	0.0	0.0
SRR2034335.858484-2/2	0.0	1.0
SRR2034335.863387-1/2	0.0	1.0
SRR2034335.863387-2/2	0.0	0.0
SRR2034335.867736-1/2	0.0	1.0
SRR2034335.867736-2/2	0.0	1.0
SRR2034335.868470-1/2	0.0	0.0
SRR2034335.868470-2/2	0.0	1.0
SRR2034335.873659-1/2	0.0	1.0
SRR2034335.873659-2/2	1.0	0.0
SRR2034335.873816-1/2	1.0	0.0
SRR2034335.873816-2/2	0.0	1.0
SRR2034335.876735-1/2	0.0	0.0
SRR2034335.876735-2/2	0.0	0.0
SRR2034335.878222-1/2	0.0	0.0
SRR2034335.878222-2/2	0.0	1.0
SRR2034335.884311-1/2	0.0	0.0
SRR2034335.884311-2/2	1.0	0.0
SRR2034335.888049-1/2	0.0	0.0
SRR2034335.888049-2/2	0.0	1.0
SRR2034335.888890-1/2	1.0	0.0
SRR2034335.888890-2/2	0.0	1.0
SRR2034335.891654-1/2	0.0	1.0
SRR2034335.891654-2/2	0.0	0.0
SRR2034335.93755-1/2	0.0	1.0
SRR2034335.93755-2/2	0.0	1.0
SRR2034335.94418-1/2	0.0	0.0
SRR2034335.94418-2/2	0.0	1.0
