	recG_15	recG_16
SRR2034335.523241-1/2	0.0	0.0
SRR2034335.523241-2/2	0.0	0.0
SRR2034335.527595-1/2	0.0	0.0
SRR2034335.527595-2/2	0.0	0.0
SRR2034335.530756-1/2	1.0	1.0
SRR2034335.530756-2/2	0.0	0.0
SRR2034335.537207-1/2	1.0	0.0
SRR2034335.537207-2/2	0.0	0.0
SRR2034335.53793-1/2	0.0	0.0
SRR2034335.53793-2/2	0.0	0.0
SRR2034335.539153-1/2	0.0	0.0
SRR2034335.539153-2/2	0.0	0.0
SRR2034335.540729-1/2	0.0	0.0
SRR2034335.540729-2/2	0.0	0.0
SRR2034335.543614-1/2	1.0	0.0
SRR2034335.543614-2/2	0.0	0.0
SRR2034335.551585-1/2	0.0	0.0
SRR2034335.551585-2/2	0.0	0.0
SRR2034335.553982-1/2	1.0	2.0
SRR2034335.553982-2/2	2.0	1.0
SRR2034335.554282-1/2	0.0	0.0
SRR2034335.554282-2/2	0.0	0.0
SRR2034335.556784-1/2	1.0	1.0
SRR2034335.556784-2/2	0.0	0.0
SRR2034335.558663-1/2	0.0	0.0
SRR2034335.558663-2/2	0.0	0.0
SRR2034335.57258-1/2	1.0	0.0
SRR2034335.57258-2/2	0.0	0.0
SRR2034335.573363-1/2	0.0	0.0
SRR2034335.573363-2/2	0.0	0.0
SRR2034335.58125-1/2	0.0	0.0
SRR2034335.58125-2/2	0.0	1.0
SRR2034335.584696-1/2	0.0	0.0
SRR2034335.584696-2/2	0.0	0.0
SRR2034335.586901-1/2	1.0	0.0
SRR2034335.586901-2/2	1.0	0.0
SRR2034335.587214-1/2	0.0	0.0
SRR2034335.587214-2/2	0.0	0.0
SRR2034335.594084-1/2	0.0	0.0
SRR2034335.594084-2/2	0.0	0.0
SRR2034335.594258-1/2	0.0	0.0
SRR2034335.594258-2/2	0.0	0.0
SRR2034335.59904-1/2	0.0	0.0
SRR2034335.59904-2/2	0.0	1.0
SRR2034335.600093-1/2	0.0	0.0
SRR2034335.600093-2/2	0.0	0.0
SRR2034335.602437-1/2	0.0	0.0
SRR2034335.602437-2/2	0.0	1.0
SRR2034335.603619-1/2	0.0	0.0
SRR2034335.603619-2/2	0.0	0.0
SRR2034335.603804-1/2	1.0	0.0
SRR2034335.603804-2/2	1.0	0.0
SRR2034335.614172-1/2	1.0	0.0
SRR2034335.614172-2/2	0.0	0.0
SRR2034335.623133-1/2	0.0	1.0
SRR2034335.623133-2/2	0.0	0.0
SRR2034335.625631-1/2	0.0	0.0
SRR2034335.625631-2/2	0.0	0.0
SRR2034335.628875-1/2	0.0	0.0
SRR2034335.628875-2/2	1.0	1.0
SRR2034335.62892-1/2	1.0	0.0
SRR2034335.62892-2/2	0.0	0.0
SRR2034335.630636-1/2	0.0	0.0
SRR2034335.630636-2/2	0.0	0.0
SRR2034335.630920-1/2	0.0	0.0
SRR2034335.630920-2/2	0.0	0.0
SRR2034335.632743-1/2	1.0	0.0
SRR2034335.632743-2/2	1.0	0.0
SRR2034335.639037-1/2	0.0	0.0
SRR2034335.639037-2/2	0.0	0.0
SRR2034335.649440-1/2	0.0	0.0
SRR2034335.649440-2/2	0.0	0.0
SRR2034335.650864-1/2	0.0	0.0
SRR2034335.650864-2/2	0.0	1.0
SRR2034335.651490-1/2	0.0	0.0
SRR2034335.651490-2/2	0.0	0.0
SRR2034335.662847-1/2	0.0	1.0
SRR2034335.662847-2/2	0.0	0.0
SRR2034335.66349-1/2	0.0	1.0
SRR2034335.66349-2/2	0.0	1.0
SRR2034335.666874-1/2	0.0	0.0
SRR2034335.666874-2/2	0.0	0.0
SRR2034335.667013-1/2	1.0	0.0
SRR2034335.667013-2/2	0.0	0.0
SRR2034335.671522-1/2	0.0	0.0
SRR2034335.671522-2/2	0.0	0.0
SRR2034335.675593-1/2	1.0	1.0
SRR2034335.675593-2/2	0.0	1.0
SRR2034335.676679-1/2	0.0	1.0
SRR2034335.676679-2/2	0.0	0.0
SRR2034335.678259-1/2	1.0	0.0
SRR2034335.678259-2/2	0.0	0.0
SRR2034335.680475-1/2	0.0	0.0
SRR2034335.680475-2/2	0.0	0.0
SRR2034335.684757-1/2	1.0	0.0
SRR2034335.684757-2/2	0.0	0.0
SRR2034335.687831-1/2	0.0	0.0
SRR2034335.687831-2/2	0.0	0.0
SRR2034335.689453-1/2	0.0	0.0
