	pepX_1
SRR2034334.343787-2/2	0.0
SRR2034334.344430-1/2	0.0
SRR2034334.344430-2/2	0.0
SRR2034334.345032-1/2	0.0
SRR2034334.345032-2/2	0.0
SRR2034334.347443-1/2	1.0
SRR2034334.347443-2/2	0.0
SRR2034334.34920-1/2	0.0
SRR2034334.34920-2/2	0.0
SRR2034334.349719-1/2	0.0
SRR2034334.349719-2/2	0.0
SRR2034334.350355-1/2	0.0
SRR2034334.350355-2/2	0.0
SRR2034334.357546-1/2	0.0
SRR2034334.357546-2/2	0.0
SRR2034334.358450-1/2	0.0
SRR2034334.358450-2/2	0.0
SRR2034334.36010-1/2	0.0
SRR2034334.36010-2/2	0.0
SRR2034334.361851-1/2	0.0
SRR2034334.361851-2/2	0.0
SRR2034334.362107-1/2	0.0
SRR2034334.362107-2/2	0.0
SRR2034334.363150-1/2	0.0
SRR2034334.363150-2/2	0.0
SRR2034334.363458-1/2	0.0
SRR2034334.363458-2/2	0.0
SRR2034334.363947-1/2	0.0
SRR2034334.363947-2/2	0.0
SRR2034334.365256-1/2	0.0
SRR2034334.365256-2/2	0.0
SRR2034334.368726-1/2	0.0
SRR2034334.368726-2/2	0.0
SRR2034334.373897-1/2	0.0
SRR2034334.373897-2/2	0.0
SRR2034334.378326-1/2	0.0
SRR2034334.378326-2/2	0.0
SRR2034334.379419-1/2	0.0
SRR2034334.379419-2/2	0.0
SRR2034334.380554-1/2	1.0
SRR2034334.380554-2/2	0.0
SRR2034334.384614-1/2	0.0
SRR2034334.384614-2/2	0.0
SRR2034334.386882-1/2	0.0
SRR2034334.386882-2/2	0.0
SRR2034334.390549-1/2	0.0
SRR2034334.390549-2/2	0.0
SRR2034334.391468-1/2	0.0
SRR2034334.391468-2/2	0.0
SRR2034334.403899-1/2	0.0
SRR2034334.403899-2/2	0.0
SRR2034334.409313-1/2	0.0
SRR2034334.409313-2/2	0.0
SRR2034334.409687-1/2	0.0
SRR2034334.409687-2/2	0.0
SRR2034334.410153-1/2	0.0
SRR2034334.410153-2/2	0.0
SRR2034334.41087-1/2	0.0
SRR2034334.41087-2/2	0.0
SRR2034334.412762-1/2	0.0
SRR2034334.412762-2/2	0.0
SRR2034334.417391-1/2	0.0
SRR2034334.417391-2/2	0.0
SRR2034334.417534-1/2	0.0
SRR2034334.417534-2/2	0.0
SRR2034334.419222-1/2	0.0
SRR2034334.419222-2/2	0.0
SRR2034334.420486-1/2	0.0
SRR2034334.420486-2/2	2.0
SRR2034334.421406-1/2	0.0
SRR2034334.421406-2/2	0.0
SRR2034334.421787-1/2	0.0
SRR2034334.421787-2/2	0.0
SRR2034334.431374-1/2	0.0
SRR2034334.431374-2/2	0.0
SRR2034334.440117-1/2	0.0
SRR2034334.440117-2/2	0.0
SRR2034334.443373-1/2	0.0
SRR2034334.443373-2/2	0.0
SRR2034334.448536-1/2	0.0
SRR2034334.448536-2/2	0.0
SRR2034334.449432-1/2	1.0
SRR2034334.449432-2/2	1.0
SRR2034334.457353-1/2	0.0
SRR2034334.457353-2/2	0.0
SRR2034334.459086-1/2	0.0
SRR2034334.459086-2/2	0.0
SRR2034334.463315-1/2	0.0
SRR2034334.463315-2/2	0.0
SRR2034334.464664-1/2	0.0
SRR2034334.464664-2/2	0.0
SRR2034334.465021-1/2	0.0
SRR2034334.465021-2/2	0.0
SRR2034334.465063-1/2	0.0
SRR2034334.465063-2/2	0.0
SRR2034334.465370-1/2	0.0
SRR2034334.465370-2/2	0.0
SRR2034334.46938-1/2	0.0
SRR2034334.46938-2/2	0.0
SRR2034334.47068-1/2	0.0
SRR2034334.47068-2/2	0.0
SRR2034334.472858-1/2	0.0
SRR2034334.472858-2/2	0.0
SRR2034334.476098-1/2	0.0
SRR2034334.476098-2/2	0.0
SRR2034334.477110-1/2	0.0
SRR2034334.477110-2/2	0.0
SRR2034334.477429-1/2	0.0
SRR2034334.477429-2/2	0.0
SRR2034334.478108-1/2	0.0
SRR2034334.478108-2/2	0.0
SRR2034334.491243-1/2	0.0
SRR2034334.491243-2/2	0.0
SRR2034334.49261-1/2	0.0
SRR2034334.49261-2/2	0.0
SRR2034334.500143-1/2	0.0
SRR2034334.500143-2/2	0.0
SRR2034334.500449-1/2	0.0
SRR2034334.500449-2/2	0.0
SRR2034334.500833-1/2	0.0
SRR2034334.500833-2/2	0.0
SRR2034334.501892-1/2	0.0
SRR2034334.501892-2/2	0.0
SRR2034334.506450-1/2	0.0
SRR2034334.506450-2/2	0.0
SRR2034334.511295-1/2	0.0
SRR2034334.511295-2/2	0.0
SRR2034334.515717-1/2	0.0
SRR2034334.515717-2/2	0.0
SRR2034334.524389-1/2	0.0
SRR2034334.524389-2/2	0.0
SRR2034334.526841-1/2	0.0
SRR2034334.526841-2/2	0.0
SRR2034334.528504-1/2	0.0
SRR2034334.528504-2/2	0.0
SRR2034334.532230-1/2	0.0
SRR2034334.532230-2/2	0.0
SRR2034334.533169-1/2	0.0
SRR2034334.533169-2/2	0.0
SRR2034334.533452-1/2	0.0
SRR2034334.533452-2/2	0.0
SRR2034334.533552-1/2	0.0
SRR2034334.533552-2/2	0.0
SRR2034334.538815-1/2	0.0
SRR2034334.538815-2/2	0.0
SRR2034334.53935-1/2	0.0
SRR2034334.53935-2/2	0.0
SRR2034334.540993-1/2	0.0
SRR2034334.540993-2/2	0.0
SRR2034334.544756-1/2	0.0
SRR2034334.544756-2/2	0.0
SRR2034334.55250-1/2	0.0
SRR2034334.55250-2/2	0.0
SRR2034334.557087-1/2	0.0
SRR2034334.557087-2/2	0.0
SRR2034334.558349-1/2	0.0
SRR2034334.558349-2/2	0.0
SRR2034334.566230-1/2	0.0
SRR2034334.566230-2/2	0.0
SRR2034334.573003-1/2	1.0
SRR2034334.573003-2/2	0.0
SRR2034334.58179-1/2	0.0
SRR2034334.58179-2/2	0.0
SRR2034334.584577-1/2	0.0
SRR2034334.584577-2/2	0.0
SRR2034334.58912-1/2	0.0
SRR2034334.58912-2/2	0.0
SRR2034334.589947-1/2	0.0
SRR2034334.589947-2/2	0.0
SRR2034334.592659-1/2	0.0
SRR2034334.592659-2/2	0.0
SRR2034334.603066-1/2	0.0
SRR2034334.603066-2/2	0.0
SRR2034334.606689-1/2	0.0
SRR2034334.606689-2/2	0.0
SRR2034334.612414-1/2	0.0
SRR2034334.612414-2/2	0.0
SRR2034334.617997-1/2	0.0
SRR2034334.617997-2/2	0.0
SRR2034334.62037-1/2	0.0
SRR2034334.62037-2/2	0.0
SRR2034334.632243-1/2	0.0
SRR2034334.632243-2/2	0.0
SRR2034334.635242-1/2	0.0
SRR2034334.635242-2/2	0.0
SRR2034334.637103-1/2	0.0
SRR2034334.637103-2/2	0.0
SRR2034334.641507-1/2	0.0
SRR2034334.641507-2/2	0.0
SRR2034334.644907-1/2	0.0
SRR2034334.644907-2/2	0.0
SRR2034334.646514-1/2	0.0
SRR2034334.646514-2/2	0.0
SRR2034334.646823-1/2	0.0
SRR2034334.646823-2/2	0.0
SRR2034334.653015-1/2	0.0
SRR2034334.653015-2/2	0.0
SRR2034334.660227-1/2	0.0
SRR2034334.660227-2/2	0.0
SRR2034334.666501-1/2	0.0
SRR2034334.666501-2/2	0.0
SRR2034334.6762-1/2	0.0
SRR2034334.6762-2/2	0.0
SRR2034334.678487-1/2	0.0
SRR2034334.678487-2/2	0.0
SRR2034334.683305-1/2	0.0
SRR2034334.683305-2/2	0.0
SRR2034334.685893-1/2	1.0
SRR2034334.685893-2/2	0.0
SRR2034334.695058-1/2	0.0
SRR2034334.695058-2/2	0.0
SRR2034334.695452-1/2	0.0
SRR2034334.695452-2/2	0.0
SRR2034334.696808-1/2	0.0
SRR2034334.696808-2/2	0.0
SRR2034334.702343-1/2	0.0
SRR2034334.702343-2/2	0.0
SRR2034334.705551-1/2	0.0
SRR2034334.705551-2/2	0.0
SRR2034334.710131-1/2	0.0
SRR2034334.710131-2/2	0.0
SRR2034334.712258-1/2	0.0
SRR2034334.712258-2/2	0.0
SRR2034334.712950-1/2	0.0
SRR2034334.712950-2/2	0.0
SRR2034334.716860-1/2	0.0
SRR2034334.716860-2/2	0.0
SRR2034334.7243-1/2	0.0
SRR2034334.7243-2/2	0.0
SRR2034334.730863-1/2	0.0
SRR2034334.730863-2/2	0.0
SRR2034334.739117-1/2	0.0
SRR2034334.739117-2/2	0.0
SRR2034334.739244-1/2	0.0
SRR2034334.739244-2/2	1.0
SRR2034334.744545-1/2	0.0
SRR2034334.744545-2/2	0.0
SRR2034334.745455-1/2	0.0
SRR2034334.745455-2/2	0.0
SRR2034334.745764-1/2	0.0
SRR2034334.745764-2/2	0.0
SRR2034334.749689-1/2	0.0
SRR2034334.749689-2/2	0.0
SRR2034334.750906-1/2	0.0
SRR2034334.750906-2/2	0.0
SRR2034334.765154-1/2	0.0
SRR2034334.765154-2/2	1.0
SRR2034334.766654-1/2	0.0
SRR2034334.766654-2/2	0.0
SRR2034334.770834-1/2	0.0
SRR2034334.770834-2/2	0.0
SRR2034334.784080-1/2	1.0
SRR2034334.784080-2/2	1.0
SRR2034334.785618-1/2	0.0
SRR2034334.785618-2/2	0.0
SRR2034334.788344-1/2	0.0
SRR2034334.788344-2/2	0.0
SRR2034334.789599-1/2	0.0
SRR2034334.789599-2/2	0.0
SRR2034334.801067-1/2	0.0
SRR2034334.801067-2/2	0.0
SRR2034334.801510-1/2	0.0
SRR2034334.801510-2/2	0.0
SRR2034334.803149-1/2	0.0
SRR2034334.803149-2/2	0.0
SRR2034334.803908-1/2	0.0
SRR2034334.803908-2/2	0.0
SRR2034334.805119-1/2	0.0
SRR2034334.805119-2/2	0.0
SRR2034334.807200-1/2	0.0
SRR2034334.807200-2/2	0.0
SRR2034334.818698-1/2	0.0
SRR2034334.818698-2/2	1.0
SRR2034334.821907-1/2	1.0
SRR2034334.821907-2/2	0.0
SRR2034334.821926-1/2	0.0
SRR2034334.821926-2/2	0.0
SRR2034334.830784-1/2	0.0
SRR2034334.830784-2/2	0.0
SRR2034334.843043-1/2	0.0
SRR2034334.843043-2/2	0.0
SRR2034334.845114-1/2	0.0
SRR2034334.845114-2/2	0.0
SRR2034334.846266-1/2	0.0
SRR2034334.846266-2/2	0.0
SRR2034334.846940-1/2	0.0
SRR2034334.846940-2/2	0.0
SRR2034334.850574-1/2	0.0
SRR2034334.850574-2/2	0.0
SRR2034334.850715-1/2	0.0
SRR2034334.850715-2/2	0.0
SRR2034334.858642-1/2	0.0
SRR2034334.858642-2/2	0.0
SRR2034334.860202-1/2	0.0
SRR2034334.860202-2/2	0.0
SRR2034334.864965-1/2	0.0
SRR2034334.864965-2/2	0.0
SRR2034334.869238-1/2	0.0
SRR2034334.869238-2/2	0.0
SRR2034334.876461-1/2	0.0
SRR2034334.876461-2/2	0.0
SRR2034334.880724-1/2	0.0
SRR2034334.880724-2/2	0.0
SRR2034334.88240-1/2	0.0
SRR2034334.88240-2/2	0.0
SRR2034334.88378-1/2	0.0
SRR2034334.88378-2/2	0.0
SRR2034334.889002-1/2	0.0
SRR2034334.889002-2/2	0.0
SRR2034334.88965-1/2	0.0
SRR2034334.88965-2/2	0.0
SRR2034334.89759-1/2	0.0
SRR2034334.89759-2/2	0.0
SRR2034334.900524-1/2	0.0
SRR2034334.900524-2/2	0.0
SRR2034334.901097-1/2	0.0
SRR2034334.901097-2/2	0.0
SRR2034334.902881-1/2	0.0
SRR2034334.902881-2/2	0.0
SRR2034334.903823-1/2	0.0
SRR2034334.903823-2/2	0.0
SRR2034334.90385-1/2	0.0
SRR2034334.90385-2/2	0.0
SRR2034334.905379-1/2	0.0
SRR2034334.905379-2/2	1.0
SRR2034334.9086-1/2	0.0
SRR2034334.9086-2/2	0.0
SRR2034334.908620-1/2	0.0
SRR2034334.908620-2/2	0.0
SRR2034334.922106-1/2	0.0
SRR2034334.922106-2/2	0.0
SRR2034334.936158-1/2	0.0
SRR2034334.936158-2/2	0.0
SRR2034334.95936-1/2	0.0
SRR2034334.95936-2/2	0.0
