	pyrG_168
SRR2034334.598251-1/2	0.0
SRR2034334.598251-2/2	0.0
SRR2034334.59889-1/2	0.0
SRR2034334.59889-2/2	0.0
SRR2034334.601615-1/2	0.0
SRR2034334.601615-2/2	0.0
SRR2034334.608781-1/2	0.0
SRR2034334.608781-2/2	0.0
SRR2034334.609894-1/2	0.0
SRR2034334.609894-2/2	0.0
SRR2034334.612602-1/2	0.0
SRR2034334.612602-2/2	0.0
SRR2034334.614467-1/2	0.0
SRR2034334.614467-2/2	0.0
SRR2034334.61604-1/2	0.0
SRR2034334.61604-2/2	0.0
SRR2034334.616615-1/2	0.0
SRR2034334.616615-2/2	0.0
SRR2034334.617657-1/2	0.0
SRR2034334.617657-2/2	0.0
SRR2034334.618158-1/2	0.0
SRR2034334.618158-2/2	0.0
SRR2034334.621161-1/2	0.0
SRR2034334.621161-2/2	0.0
SRR2034334.622771-1/2	0.0
SRR2034334.622771-2/2	0.0
SRR2034334.622885-1/2	0.0
SRR2034334.622885-2/2	0.0
SRR2034334.631834-1/2	0.0
SRR2034334.631834-2/2	0.0
SRR2034334.632309-1/2	0.0
SRR2034334.632309-2/2	0.0
SRR2034334.638717-1/2	0.0
SRR2034334.638717-2/2	1.0
SRR2034334.639251-1/2	0.0
SRR2034334.639251-2/2	0.0
SRR2034334.643876-1/2	0.0
SRR2034334.643876-2/2	0.0
SRR2034334.64403-1/2	0.0
SRR2034334.64403-2/2	0.0
SRR2034334.645702-1/2	0.0
SRR2034334.645702-2/2	0.0
SRR2034334.649340-1/2	0.0
SRR2034334.649340-2/2	0.0
SRR2034334.654936-1/2	1.0
SRR2034334.654936-2/2	0.0
SRR2034334.655062-1/2	0.0
SRR2034334.655062-2/2	0.0
SRR2034334.655080-1/2	0.0
SRR2034334.655080-2/2	0.0
SRR2034334.657600-1/2	0.0
SRR2034334.657600-2/2	0.0
SRR2034334.660218-1/2	0.0
SRR2034334.660218-2/2	0.0
SRR2034334.660793-1/2	0.0
SRR2034334.660793-2/2	0.0
SRR2034334.663350-1/2	0.0
SRR2034334.663350-2/2	0.0
SRR2034334.663427-1/2	0.0
SRR2034334.663427-2/2	0.0
SRR2034334.66516-1/2	0.0
SRR2034334.66516-2/2	0.0
SRR2034334.665244-1/2	0.0
SRR2034334.665244-2/2	0.0
SRR2034334.669878-1/2	1.0
SRR2034334.669878-2/2	0.0
SRR2034334.673798-1/2	0.0
SRR2034334.673798-2/2	0.0
SRR2034334.680916-1/2	0.0
SRR2034334.680916-2/2	0.0
SRR2034334.684494-1/2	0.0
SRR2034334.684494-2/2	0.0
SRR2034334.686354-1/2	0.0
SRR2034334.686354-2/2	0.0
