	recG_13	recG_15	recG_16
SRR2034334.558190-2/2	1.0	0.0	0.0
SRR2034334.558340-1/2	-1.0	1.0	0.0
SRR2034334.558340-2/2	-1.0	1.0	1.0
SRR2034334.560620-1/2	-1.0	1.0	0.0
SRR2034334.560620-2/2	-1.0	1.0	0.0
SRR2034334.561112-1/2	2.0	0.0	1.0
SRR2034334.561112-2/2	0.0	0.0	0.0
SRR2034334.562012-1/2	1.0	1.0	1.0
SRR2034334.562012-2/2	0.0	0.0	0.0
SRR2034334.562825-1/2	0.0	0.0	0.0
SRR2034334.562825-2/2	2.0	0.0	1.0
SRR2034334.562882-1/2	1.0	0.0	0.0
SRR2034334.562882-2/2	1.0	0.0	0.0
SRR2034334.570539-1/2	1.0	0.0	0.0
SRR2034334.570539-2/2	0.0	0.0	0.0
SRR2034334.572525-1/2	-1.0	1.0	0.0
SRR2034334.572525-2/2	-1.0	2.0	1.0
SRR2034334.572763-1/2	0.0	0.0	0.0
SRR2034334.572763-2/2	2.0	1.0	1.0
SRR2034334.582843-1/2	-1.0	1.0	0.0
SRR2034334.582843-2/2	-1.0	0.0	0.0
SRR2034334.583681-1/2	-1.0	0.0	0.0
SRR2034334.583681-2/2	-1.0	0.0	1.0
SRR2034334.589030-1/2	2.0	1.0	1.0
SRR2034334.589030-2/2	0.0	0.0	0.0
SRR2034334.596700-1/2	-1.0	1.0	0.0
SRR2034334.596700-2/2	-1.0	1.0	0.0
SRR2034334.612253-1/2	1.0	1.0	0.0
SRR2034334.612253-2/2	0.0	0.0	0.0
SRR2034334.61587-1/2	2.0	0.0	1.0
SRR2034334.61587-2/2	1.0	0.0	0.0
SRR2034334.616123-1/2	1.0	0.0	0.0
SRR2034334.616123-2/2	1.0	0.0	0.0
SRR2034334.61819-1/2	0.0	0.0	1.0
SRR2034334.61819-2/2	1.0	0.0	0.0
SRR2034334.623588-1/2	-1.0	0.0	1.0
SRR2034334.623588-2/2	-1.0	0.0	0.0
SRR2034334.627809-1/2	-1.0	1.0	0.0
SRR2034334.627809-2/2	-1.0	1.0	1.0
SRR2034334.629155-1/2	0.0	0.0	0.0
SRR2034334.629155-2/2	1.0	0.0	0.0
SRR2034334.629617-1/2	1.0	1.0	1.0
SRR2034334.629617-2/2	0.0	0.0	0.0
SRR2034334.629692-1/2	-1.0	2.0	1.0
SRR2034334.629692-2/2	-1.0	0.0	0.0
SRR2034334.631691-1/2	2.0	1.0	0.0
SRR2034334.631691-2/2	1.0	0.0	0.0
SRR2034334.633316-1/2	1.0	1.0	2.0
SRR2034334.633316-2/2	1.0	0.0	0.0
SRR2034334.639629-1/2	0.0	0.0	0.0
SRR2034334.639629-2/2	1.0	1.0	1.0
SRR2034334.640503-1/2	-1.0	0.0	0.0
SRR2034334.640503-2/2	-1.0	0.0	1.0
SRR2034334.640532-1/2	2.0	2.0	1.0
SRR2034334.640532-2/2	2.0	2.0	1.0
SRR2034334.64438-1/2	-1.0	0.0	1.0
