	nifS_1	nifS_113
SRR2034334.800406-2/2	1.0	0.0
SRR2034334.821822-1/2	1.0	0.0
SRR2034334.821822-2/2	0.0	0.0
SRR2034334.847030-1/2	0.0	1.0
SRR2034334.847030-2/2	0.0	1.0
SRR2034334.853649-1/2	0.0	1.0
SRR2034334.853649-2/2	0.0	1.0
SRR2034334.853780-1/2	0.0	1.0
SRR2034334.853780-2/2	0.0	1.0
SRR2034334.884559-1/2	0.0	0.0
SRR2034334.884559-2/2	0.0	0.0
SRR2034334.890196-1/2	0.0	0.0
SRR2034334.890196-2/2	1.0	0.0
SRR2034334.894117-1/2	0.0	0.0
SRR2034334.894117-2/2	0.0	0.0
SRR2034334.901794-1/2	0.0	0.0
SRR2034334.901794-2/2	1.0	0.0
SRR2034334.911987-1/2	0.0	0.0
SRR2034334.911987-2/2	1.0	0.0
SRR2034334.913594-1/2	0.0	0.0
SRR2034334.913594-2/2	0.0	0.0
SRR2034334.92000-1/2	0.0	0.0
SRR2034334.92000-2/2	1.0	0.0
SRR2034334.927187-1/2	0.0	0.0
SRR2034334.927187-2/2	0.0	0.0
SRR2034334.929498-1/2	1.0	0.0
SRR2034334.929498-2/2	1.0	0.0
SRR2034334.940746-1/2	1.0	0.0
SRR2034334.940746-2/2	1.0	0.0
SRR2034334.940750-1/2	0.0	0.0
SRR2034334.940750-2/2	0.0	1.0
