,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
79,80,clpA_192,clpX_80,nifS_44,pepX_164,pyrG_171,recG_49,rplB_41,uvrA_130,New
80,81,clpA_192,clpX_80,nifS_44,pepX_54,pyrG_50,recG_179,rplB_148,uvrA_33,New
81,82,clpA_192,clpX_80,nifS_44,pepX_54,pyrG_50,recG_179,rplB_148,uvrA_130,New
82,83,clpA_192,clpX_80,nifS_44,pepX_54,pyrG_50,recG_179,rplB_41,uvrA_33,New
83,84,clpA_192,clpX_80,nifS_44,pepX_54,pyrG_50,recG_179,rplB_41,uvrA_130,New
84,85,clpA_192,clpX_80,nifS_44,pepX_54,pyrG_50,recG_49,rplB_148,uvrA_33,New
85,86,clpA_192,clpX_80,nifS_44,pepX_54,pyrG_50,recG_49,rplB_148,uvrA_130,New
86,87,clpA_192,clpX_80,nifS_44,pepX_54,pyrG_50,recG_49,rplB_41,uvrA_33,New
87,88,clpA_192,clpX_80,nifS_44,pepX_54,pyrG_50,recG_49,rplB_41,uvrA_130,New
88,89,clpA_192,clpX_80,nifS_44,pepX_54,pyrG_171,recG_179,rplB_148,uvrA_33,New
89,90,clpA_192,clpX_80,nifS_44,pepX_54,pyrG_171,recG_179,rplB_148,uvrA_130,New
90,91,clpA_192,clpX_80,nifS_44,pepX_54,pyrG_171,recG_179,rplB_41,uvrA_33,New
91,92,clpA_192,clpX_80,nifS_44,pepX_54,pyrG_171,recG_179,rplB_41,uvrA_130,New
92,93,clpA_192,clpX_80,nifS_44,pepX_54,pyrG_171,recG_49,rplB_148,uvrA_33,New
93,94,clpA_192,clpX_80,nifS_44,pepX_54,pyrG_171,recG_49,rplB_148,uvrA_130,New
94,95,clpA_192,clpX_80,nifS_44,pepX_54,pyrG_171,recG_49,rplB_41,uvrA_33,New
95,96,clpA_192,clpX_80,nifS_44,pepX_54,pyrG_171,recG_49,rplB_41,uvrA_130,New
96,97,clpA_192,clpX_80,nifS_78,pepX_164,pyrG_50,recG_179,rplB_148,uvrA_33,New
97,98,clpA_192,clpX_80,nifS_78,pepX_164,pyrG_50,recG_179,rplB_148,uvrA_130,New
98,99,clpA_192,clpX_80,nifS_78,pepX_164,pyrG_50,recG_179,rplB_41,uvrA_33,New
99,100,clpA_192,clpX_80,nifS_78,pepX_164,pyrG_50,recG_179,rplB_41,uvrA_130,New
100,101,clpA_192,clpX_80,nifS_78,pepX_164,pyrG_50,recG_49,rplB_148,uvrA_33,New
101,102,clpA_192,clpX_80,nifS_78,pepX_164,pyrG_50,recG_49,rplB_148,uvrA_130,New
102,103,clpA_192,clpX_80,nifS_78,pepX_164,pyrG_50,recG_49,rplB_41,uvrA_33,New
103,104,clpA_192,clpX_80,nifS_78,pepX_164,pyrG_50,recG_49,rplB_41,uvrA_130,New
104,105,clpA_192,clpX_80,nifS_78,pepX_164,pyrG_171,recG_179,rplB_148,uvrA_33,Existing
105,106,clpA_192,clpX_80,nifS_78,pepX_164,pyrG_171,recG_179,rplB_148,uvrA_130,New
106,107,clpA_192,clpX_80,nifS_78,pepX_164,pyrG_171,recG_179,rplB_41,uvrA_33,New
107,108,clpA_192,clpX_80,nifS_78,pepX_164,pyrG_171,recG_179,rplB_41,uvrA_130,New
108,109,clpA_192,clpX_80,nifS_78,pepX_164,pyrG_171,recG_49,rplB_148,uvrA_33,New
109,110,clpA_192,clpX_80,nifS_78,pepX_164,pyrG_171,recG_49,rplB_148,uvrA_130,New
110,111,clpA_192,clpX_80,nifS_78,pepX_164,pyrG_171,recG_49,rplB_41,uvrA_33,New
111,112,clpA_192,clpX_80,nifS_78,pepX_164,pyrG_171,recG_49,rplB_41,uvrA_130,New
