,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
104,105,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_259,rplB_294,uvrA_29,New
105,106,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_259,rplB_23,uvrA_288,New
106,107,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_259,rplB_23,uvrA_28,New
107,108,clpA_51,clpX_252,nifS_23,pepX_86,pyrG_282,recG_259,rplB_23,uvrA_29,New
108,109,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_91,rplB_294,uvrA_288,New
109,110,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_91,rplB_294,uvrA_28,New
110,111,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_91,rplB_294,uvrA_29,New
111,112,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_91,rplB_23,uvrA_288,New
112,113,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_91,rplB_23,uvrA_28,New
113,114,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_91,rplB_23,uvrA_29,New
114,115,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_27,rplB_294,uvrA_288,New
115,116,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_27,rplB_294,uvrA_28,New
116,117,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_27,rplB_294,uvrA_29,New
117,118,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_27,rplB_23,uvrA_288,New
118,119,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_27,rplB_23,uvrA_28,New
119,120,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_27,rplB_23,uvrA_29,New
120,121,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_259,rplB_294,uvrA_288,New
121,122,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_259,rplB_294,uvrA_28,New
122,123,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_259,rplB_294,uvrA_29,New
123,124,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_259,rplB_23,uvrA_288,New
124,125,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_259,rplB_23,uvrA_28,New
125,126,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_85,recG_259,rplB_23,uvrA_29,New
126,127,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_91,rplB_294,uvrA_288,New
127,128,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_91,rplB_294,uvrA_28,New
128,129,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_91,rplB_294,uvrA_29,New
