,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
151,152,clpA_37,clpX_103,nifS_24,pepX_31,pyrG_128,recG_92,rplB_110,uvrA_28,New
152,153,clpA_37,clpX_103,nifS_24,pepX_31,pyrG_98,recG_127,rplB_23,uvrA_42,New
153,154,clpA_37,clpX_103,nifS_24,pepX_31,pyrG_98,recG_127,rplB_23,uvrA_28,New
154,155,clpA_37,clpX_103,nifS_24,pepX_31,pyrG_98,recG_127,rplB_110,uvrA_42,New
155,156,clpA_37,clpX_103,nifS_24,pepX_31,pyrG_98,recG_127,rplB_110,uvrA_28,New
156,157,clpA_37,clpX_103,nifS_24,pepX_31,pyrG_98,recG_92,rplB_23,uvrA_42,New
157,158,clpA_37,clpX_103,nifS_24,pepX_31,pyrG_98,recG_92,rplB_23,uvrA_28,New
158,159,clpA_37,clpX_103,nifS_24,pepX_31,pyrG_98,recG_92,rplB_110,uvrA_42,New
159,160,clpA_37,clpX_103,nifS_24,pepX_31,pyrG_98,recG_92,rplB_110,uvrA_28,New
160,161,clpA_37,clpX_103,nifS_43,pepX_130,pyrG_128,recG_127,rplB_23,uvrA_42,New
161,162,clpA_37,clpX_103,nifS_43,pepX_130,pyrG_128,recG_127,rplB_23,uvrA_28,New
162,163,clpA_37,clpX_103,nifS_43,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_42,New
163,164,clpA_37,clpX_103,nifS_43,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_28,New
164,165,clpA_37,clpX_103,nifS_43,pepX_130,pyrG_128,recG_92,rplB_23,uvrA_42,New
165,166,clpA_37,clpX_103,nifS_43,pepX_130,pyrG_128,recG_92,rplB_23,uvrA_28,New
166,167,clpA_37,clpX_103,nifS_43,pepX_130,pyrG_128,recG_92,rplB_110,uvrA_42,New
167,168,clpA_37,clpX_103,nifS_43,pepX_130,pyrG_128,recG_92,rplB_110,uvrA_28,New
168,169,clpA_37,clpX_103,nifS_43,pepX_130,pyrG_98,recG_127,rplB_23,uvrA_42,New
169,170,clpA_37,clpX_103,nifS_43,pepX_130,pyrG_98,recG_127,rplB_23,uvrA_28,New
170,171,clpA_37,clpX_103,nifS_43,pepX_130,pyrG_98,recG_127,rplB_110,uvrA_42,New
171,172,clpA_37,clpX_103,nifS_43,pepX_130,pyrG_98,recG_127,rplB_110,uvrA_28,New
172,173,clpA_37,clpX_103,nifS_43,pepX_130,pyrG_98,recG_92,rplB_23,uvrA_42,New
173,174,clpA_37,clpX_103,nifS_43,pepX_130,pyrG_98,recG_92,rplB_23,uvrA_28,New
174,175,clpA_37,clpX_103,nifS_43,pepX_130,pyrG_98,recG_92,rplB_110,uvrA_42,New
175,176,clpA_37,clpX_103,nifS_43,pepX_130,pyrG_98,recG_92,rplB_110,uvrA_28,New
176,177,clpA_37,clpX_103,nifS_43,pepX_31,pyrG_128,recG_127,rplB_23,uvrA_42,New
177,178,clpA_37,clpX_103,nifS_43,pepX_31,pyrG_128,recG_127,rplB_23,uvrA_28,New
178,179,clpA_37,clpX_103,nifS_43,pepX_31,pyrG_128,recG_127,rplB_110,uvrA_42,New
179,180,clpA_37,clpX_103,nifS_43,pepX_31,pyrG_128,recG_127,rplB_110,uvrA_28,New
180,181,clpA_37,clpX_103,nifS_43,pepX_31,pyrG_128,recG_92,rplB_23,uvrA_42,New
181,182,clpA_37,clpX_103,nifS_43,pepX_31,pyrG_128,recG_92,rplB_23,uvrA_28,New
182,183,clpA_37,clpX_103,nifS_43,pepX_31,pyrG_128,recG_92,rplB_110,uvrA_42,New
183,184,clpA_37,clpX_103,nifS_43,pepX_31,pyrG_128,recG_92,rplB_110,uvrA_28,New
184,185,clpA_37,clpX_103,nifS_43,pepX_31,pyrG_98,recG_127,rplB_23,uvrA_42,New
185,186,clpA_37,clpX_103,nifS_43,pepX_31,pyrG_98,recG_127,rplB_23,uvrA_28,New
186,187,clpA_37,clpX_103,nifS_43,pepX_31,pyrG_98,recG_127,rplB_110,uvrA_42,New
187,188,clpA_37,clpX_103,nifS_43,pepX_31,pyrG_98,recG_127,rplB_110,uvrA_28,New
188,189,clpA_37,clpX_103,nifS_43,pepX_31,pyrG_98,recG_92,rplB_23,uvrA_42,New
189,190,clpA_37,clpX_103,nifS_43,pepX_31,pyrG_98,recG_92,rplB_23,uvrA_28,New
190,191,clpA_37,clpX_103,nifS_43,pepX_31,pyrG_98,recG_92,rplB_110,uvrA_42,New
191,192,clpA_37,clpX_103,nifS_43,pepX_31,pyrG_98,recG_92,rplB_110,uvrA_28,New
192,193,clpA_37,clpX_24,nifS_24,pepX_130,pyrG_128,recG_127,rplB_23,uvrA_42,New
193,194,clpA_37,clpX_24,nifS_24,pepX_130,pyrG_128,recG_127,rplB_23,uvrA_28,New
194,195,clpA_37,clpX_24,nifS_24,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_42,New
195,196,clpA_37,clpX_24,nifS_24,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_28,New
196,197,clpA_37,clpX_24,nifS_24,pepX_130,pyrG_128,recG_92,rplB_23,uvrA_42,New
197,198,clpA_37,clpX_24,nifS_24,pepX_130,pyrG_128,recG_92,rplB_23,uvrA_28,New
198,199,clpA_37,clpX_24,nifS_24,pepX_130,pyrG_128,recG_92,rplB_110,uvrA_42,New
